Accession,Description,trt,measurement
AT1G20620,| Symbols: CAT3  SEN2  ATCAT3 | catalase 3 | chr1:7143142-7146193 FORWARD LENGTH=492,2,80.934
AT1G20620,| Symbols: CAT3  SEN2  ATCAT3 | catalase 3 | chr1:7143142-7146193 FORWARD LENGTH=492,2,75.768
AT1G20620,| Symbols: CAT3  SEN2  ATCAT3 | catalase 3 | chr1:7143142-7146193 FORWARD LENGTH=492,6,63
AT1G20620,| Symbols: CAT3  SEN2  ATCAT3 | catalase 3 | chr1:7143142-7146193 FORWARD LENGTH=492,6,69
AT1G20620,| Symbols: CAT3  SEN2  ATCAT3 | catalase 3 | chr1:7143142-7146193 FORWARD LENGTH=492,6,72
AT1G20630,| Symbols: CAT1 | catalase 1 | chr1:7146812-7149609 FORWARD LENGTH=492,2,72.324
AT1G20630,| Symbols: CAT1 | catalase 1 | chr1:7146812-7149609 FORWARD LENGTH=492,2,68.88
AT1G20630,| Symbols: CAT1 | catalase 1 | chr1:7146812-7149609 FORWARD LENGTH=492,2,63.714
AT1G20630,| Symbols: CAT1 | catalase 1 | chr1:7146812-7149609 FORWARD LENGTH=492,6,60
AT1G20630,| Symbols: CAT1 | catalase 1 | chr1:7146812-7149609 FORWARD LENGTH=492,6,64
AT1G20630,| Symbols: CAT1 | catalase 1 | chr1:7146812-7149609 FORWARD LENGTH=492,6,58
AT1G21065,| Symbols:  | unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0047 (InterP...,2,4.305
AT1G21065,| Symbols:  | unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0047 (InterP...,2,5.166
AT1G21065,| Symbols:  | unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0047 (InterP...,2,5.166
AT1G21065,| Symbols:  | unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0047 (InterP...,6,4
AT1G21065,| Symbols:  | unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0047 (InterP...,6,4
AT1G21065,| Symbols:  | unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0047 (InterP...,6,5
AT1G21080,| Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr1:7378822-7382275 REVERSE LENGTH=391,2,15.498
AT1G21080,| Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr1:7378822-7382275 REVERSE LENGTH=391,2,13.776
AT1G21080,| Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr1:7378822-7382275 REVERSE LENGTH=391,2,17.22
AT1G21080,| Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr1:7378822-7382275 REVERSE LENGTH=391,6,20
AT1G21080,| Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr1:7378822-7382275 REVERSE LENGTH=391,6,12
AT1G21080,| Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr1:7378822-7382275 REVERSE LENGTH=391,6,17
AT1G21440,| Symbols:  | Phosphoenolpyruvate carboxylase family protein | chr1:7502325-7504103 REVERSE LENGTH=336,2,11.193
AT1G21440,| Symbols:  | Phosphoenolpyruvate carboxylase family protein | chr1:7502325-7504103 REVERSE LENGTH=336,2,16.359
AT1G21440,| Symbols:  | Phosphoenolpyruvate carboxylase family protein | chr1:7502325-7504103 REVERSE LENGTH=336,2,12.054
AT1G21440,| Symbols:  | Phosphoenolpyruvate carboxylase family protein | chr1:7502325-7504103 REVERSE LENGTH=336,6,13
AT1G21440,| Symbols:  | Phosphoenolpyruvate carboxylase family protein | chr1:7502325-7504103 REVERSE LENGTH=336,6,12
AT1G21440,| Symbols:  | Phosphoenolpyruvate carboxylase family protein | chr1:7502325-7504103 REVERSE LENGTH=336,6,12
AT1G21670,| Symbols:  | LOCATED IN: cell wall  plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: WD40-like Beta Propeller (InterPro:IPR011659)  Six-bladed beta-propeller  TolB-like ...,2,13.776
AT1G21670,| Symbols:  | LOCATED IN: cell wall  plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: WD40-like Beta Propeller (InterPro:IPR011659)  Six-bladed beta-propeller  TolB-like ...,2,14.637
AT1G21670,| Symbols:  | LOCATED IN: cell wall  plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: WD40-like Beta Propeller (InterPro:IPR011659)  Six-bladed beta-propeller  TolB-like ...,2,12.915
AT1G21670,| Symbols:  | LOCATED IN: cell wall  plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: WD40-like Beta Propeller (InterPro:IPR011659)  Six-bladed beta-propeller  TolB-like ...,6,10
AT1G21670,| Symbols:  | LOCATED IN: cell wall  plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: WD40-like Beta Propeller (InterPro:IPR011659)  Six-bladed beta-propeller  TolB-like ...,6,18
AT1G21670,| Symbols:  | LOCATED IN: cell wall  plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: WD40-like Beta Propeller (InterPro:IPR011659)  Six-bladed beta-propeller  TolB-like ...,6,17
AT1G21680,| Symbols:  | DPP6 N-terminal domain-like protein | chr1:7613028-7615148 FORWARD LENGTH=706,2,23.247
AT1G21680,| Symbols:  | DPP6 N-terminal domain-like protein | chr1:7613028-7615148 FORWARD LENGTH=706,2,18.942
AT1G21680,| Symbols:  | DPP6 N-terminal domain-like protein | chr1:7613028-7615148 FORWARD LENGTH=706,2,21.525
AT1G21680,| Symbols:  | DPP6 N-terminal domain-like protein | chr1:7613028-7615148 FORWARD LENGTH=706,6,19
AT1G21680,| Symbols:  | DPP6 N-terminal domain-like protein | chr1:7613028-7615148 FORWARD LENGTH=706,6,22
AT1G21680,| Symbols:  | DPP6 N-terminal domain-like protein | chr1:7613028-7615148 FORWARD LENGTH=706,6,18
AT1G21690,| Symbols: EMB1968  RFC4 | ATPase family associated with various cellular activities (AAA)  | chr1:7615675-7618362 FORWARD LENGTH=339,2,4.305
AT1G21690,| Symbols: EMB1968  RFC4 | ATPase family associated with various cellular activities (AAA)  | chr1:7615675-7618362 FORWARD LENGTH=339,2,6.027
AT1G21690,| Symbols: EMB1968  RFC4 | ATPase family associated with various cellular activities (AAA)  | chr1:7615675-7618362 FORWARD LENGTH=339,2,6.888
AT1G21690,| Symbols: EMB1968  RFC4 | ATPase family associated with various cellular activities (AAA)  | chr1:7615675-7618362 FORWARD LENGTH=339,6,5
AT1G21690,| Symbols: EMB1968  RFC4 | ATPase family associated with various cellular activities (AAA)  | chr1:7615675-7618362 FORWARD LENGTH=339,6,6
AT1G21690,| Symbols: EMB1968  RFC4 | ATPase family associated with various cellular activities (AAA)  | chr1:7615675-7618362 FORWARD LENGTH=339,6,6
AT1G21720,| Symbols: PBC1 | proteasome beta subunit C1 | chr1:7626394-7628070 FORWARD LENGTH=204,2,22.386
AT1G21720,| Symbols: PBC1 | proteasome beta subunit C1 | chr1:7626394-7628070 FORWARD LENGTH=204,2,19.803
AT1G21720,| Symbols: PBC1 | proteasome beta subunit C1 | chr1:7626394-7628070 FORWARD LENGTH=204,2,24.108
AT1G21720,| Symbols: PBC1 | proteasome beta subunit C1 | chr1:7626394-7628070 FORWARD LENGTH=204,6,20
AT1G21720,| Symbols: PBC1 | proteasome beta subunit C1 | chr1:7626394-7628070 FORWARD LENGTH=204,6,20
AT1G21720,| Symbols: PBC1 | proteasome beta subunit C1 | chr1:7626394-7628070 FORWARD LENGTH=204,6,19
AT1G21750,| Symbols: ATPDIL1-1  ATPDI5  PDI5  PDIL1-1 | PDI-like 1-1 | chr1:7645767-7648514 FORWARD LENGTH=501,2,178.227
AT1G21750,| Symbols: ATPDIL1-1  ATPDI5  PDI5  PDIL1-1 | PDI-like 1-1 | chr1:7645767-7648514 FORWARD LENGTH=501,2,211.806
AT1G21750,| Symbols: ATPDIL1-1  ATPDI5  PDI5  PDIL1-1 | PDI-like 1-1 | chr1:7645767-7648514 FORWARD LENGTH=501,2,192.003
AT1G21750,| Symbols: ATPDIL1-1  ATPDI5  PDI5  PDIL1-1 | PDI-like 1-1 | chr1:7645767-7648514 FORWARD LENGTH=501,6,188
AT1G21750,| Symbols: ATPDIL1-1  ATPDI5  PDI5  PDIL1-1 | PDI-like 1-1 | chr1:7645767-7648514 FORWARD LENGTH=501,6,193
AT1G21750,| Symbols: ATPDIL1-1  ATPDI5  PDI5  PDIL1-1 | PDI-like 1-1 | chr1:7645767-7648514 FORWARD LENGTH=501,6,167
AT1G22300,| Symbols: GRF10  14-3-3EPSILON  GF14 EPSILON | general regulatory factor 10 | chr1:7879146-7881103 REVERSE LENGTH=254,2,41.328
AT1G22300,| Symbols: GRF10  14-3-3EPSILON  GF14 EPSILON | general regulatory factor 10 | chr1:7879146-7881103 REVERSE LENGTH=254,2,44.772
AT1G22300,| Symbols: GRF10  14-3-3EPSILON  GF14 EPSILON | general regulatory factor 10 | chr1:7879146-7881103 REVERSE LENGTH=254,2,37.023
AT1G22300,| Symbols: GRF10  14-3-3EPSILON  GF14 EPSILON | general regulatory factor 10 | chr1:7879146-7881103 REVERSE LENGTH=254,6,33
AT1G22300,| Symbols: GRF10  14-3-3EPSILON  GF14 EPSILON | general regulatory factor 10 | chr1:7879146-7881103 REVERSE LENGTH=254,6,32
AT1G22300,| Symbols: GRF10  14-3-3EPSILON  GF14 EPSILON | general regulatory factor 10 | chr1:7879146-7881103 REVERSE LENGTH=254,6,29
AT1G22780,| Symbols: PFL  RPS18A  PFL1 | Ribosomal protein S13/S18 family | chr1:8067990-8069163 FORWARD LENGTH=152,2,35.301
AT1G22780,| Symbols: PFL  RPS18A  PFL1 | Ribosomal protein S13/S18 family | chr1:8067990-8069163 FORWARD LENGTH=152,2,42.189
AT1G22780,| Symbols: PFL  RPS18A  PFL1 | Ribosomal protein S13/S18 family | chr1:8067990-8069163 FORWARD LENGTH=152,2,42.189
AT1G22780,| Symbols: PFL  RPS18A  PFL1 | Ribosomal protein S13/S18 family | chr1:8067990-8069163 FORWARD LENGTH=152,6,33
AT1G22780,| Symbols: PFL  RPS18A  PFL1 | Ribosomal protein S13/S18 family | chr1:8067990-8069163 FORWARD LENGTH=152,6,28
AT1G22780,| Symbols: PFL  RPS18A  PFL1 | Ribosomal protein S13/S18 family | chr1:8067990-8069163 FORWARD LENGTH=152,6,39
AT1G23190,| Symbols: PGM3 | Phosphoglucomutase/phosphomannomutase family protein | chr1:8219946-8224186 FORWARD LENGTH=583,2,61.131
AT1G23190,| Symbols: PGM3 | Phosphoglucomutase/phosphomannomutase family protein | chr1:8219946-8224186 FORWARD LENGTH=583,2,57.687
AT1G23190,| Symbols: PGM3 | Phosphoglucomutase/phosphomannomutase family protein | chr1:8219946-8224186 FORWARD LENGTH=583,2,50.799
AT1G23190,| Symbols: PGM3 | Phosphoglucomutase/phosphomannomutase family protein | chr1:8219946-8224186 FORWARD LENGTH=583,6,48
AT1G23190,| Symbols: PGM3 | Phosphoglucomutase/phosphomannomutase family protein | chr1:8219946-8224186 FORWARD LENGTH=583,6,60
AT1G23190,| Symbols: PGM3 | Phosphoglucomutase/phosphomannomutase family protein | chr1:8219946-8224186 FORWARD LENGTH=583,6,56
AT1G23290,| Symbols: RPL27A  RPL27AB | Ribosomal protein L18e/L15 superfamily protein | chr1:8263007-8263447 FORWARD LENGTH=146,2,18.942
AT1G23290,| Symbols: RPL27A  RPL27AB | Ribosomal protein L18e/L15 superfamily protein | chr1:8263007-8263447 FORWARD LENGTH=146,2,20.664
AT1G23290,| Symbols: RPL27A  RPL27AB | Ribosomal protein L18e/L15 superfamily protein | chr1:8263007-8263447 FORWARD LENGTH=146,2,26.691
AT1G23290,| Symbols: RPL27A  RPL27AB | Ribosomal protein L18e/L15 superfamily protein | chr1:8263007-8263447 FORWARD LENGTH=146,6,18
AT1G23290,| Symbols: RPL27A  RPL27AB | Ribosomal protein L18e/L15 superfamily protein | chr1:8263007-8263447 FORWARD LENGTH=146,6,20
AT1G23290,| Symbols: RPL27A  RPL27AB | Ribosomal protein L18e/L15 superfamily protein | chr1:8263007-8263447 FORWARD LENGTH=146,6,22
AT1G23310,| Symbols: GGT1  AOAT1  GGAT1 | glutamate:glyoxylate aminotransferase | chr1:8268720-8271329 REVERSE LENGTH=481,2,59.409
AT1G23310,| Symbols: GGT1  AOAT1  GGAT1 | glutamate:glyoxylate aminotransferase | chr1:8268720-8271329 REVERSE LENGTH=481,2,58.548
AT1G23310,| Symbols: GGT1  AOAT1  GGAT1 | glutamate:glyoxylate aminotransferase | chr1:8268720-8271329 REVERSE LENGTH=481,2,51.66
AT1G23310,| Symbols: GGT1  AOAT1  GGAT1 | glutamate:glyoxylate aminotransferase | chr1:8268720-8271329 REVERSE LENGTH=481,6,42
AT1G23310,| Symbols: GGT1  AOAT1  GGAT1 | glutamate:glyoxylate aminotransferase | chr1:8268720-8271329 REVERSE LENGTH=481,6,49
AT1G23310,| Symbols: GGT1  AOAT1  GGAT1 | glutamate:glyoxylate aminotransferase | chr1:8268720-8271329 REVERSE LENGTH=481,6,48
AT1G23820,| Symbols: SPDS1 | spermidine synthase 1 | chr1:8420278-8422724 FORWARD LENGTH=378,2,37.023
AT1G23820,| Symbols: SPDS1 | spermidine synthase 1 | chr1:8420278-8422724 FORWARD LENGTH=378,2,37.884
AT1G23820,| Symbols: SPDS1 | spermidine synthase 1 | chr1:8420278-8422724 FORWARD LENGTH=378,2,35.301
AT1G23820,| Symbols: SPDS1 | spermidine synthase 1 | chr1:8420278-8422724 FORWARD LENGTH=378,6,26
AT1G23820,| Symbols: SPDS1 | spermidine synthase 1 | chr1:8420278-8422724 FORWARD LENGTH=378,6,37
AT1G23820,| Symbols: SPDS1 | spermidine synthase 1 | chr1:8420278-8422724 FORWARD LENGTH=378,6,33
AT1G24180,| Symbols: IAR4 | Thiamin diphosphate-binding fold (THDP-binding) superfamily protein | chr1:8560777-8563382 REVERSE LENGTH=393,2,18.942
AT1G24180,| Symbols: IAR4 | Thiamin diphosphate-binding fold (THDP-binding) superfamily protein | chr1:8560777-8563382 REVERSE LENGTH=393,2,18.942
AT1G24180,| Symbols: IAR4 | Thiamin diphosphate-binding fold (THDP-binding) superfamily protein | chr1:8560777-8563382 REVERSE LENGTH=393,2,17.22
AT1G24180,| Symbols: IAR4 | Thiamin diphosphate-binding fold (THDP-binding) superfamily protein | chr1:8560777-8563382 REVERSE LENGTH=393,6,12
AT1G24180,| Symbols: IAR4 | Thiamin diphosphate-binding fold (THDP-binding) superfamily protein | chr1:8560777-8563382 REVERSE LENGTH=393,6,16
AT1G24180,| Symbols: IAR4 | Thiamin diphosphate-binding fold (THDP-binding) superfamily protein | chr1:8560777-8563382 REVERSE LENGTH=393,6,15
AT1G24360,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:8640820-8643283 FORWARD LENGTH=319,2,86.961
AT1G24360,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:8640820-8643283 FORWARD LENGTH=319,2,84.378
AT1G24360,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:8640820-8643283 FORWARD LENGTH=319,2,85.239
AT1G24360,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:8640820-8643283 FORWARD LENGTH=319,6,61
AT1G24360,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:8640820-8643283 FORWARD LENGTH=319,6,74
AT1G24360,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:8640820-8643283 FORWARD LENGTH=319,6,65
AT1G24510,| Symbols:  | TCP-1/cpn60 chaperonin family protein | chr1:8685504-8688101 REVERSE LENGTH=535,2,43.05
AT1G24510,| Symbols:  | TCP-1/cpn60 chaperonin family protein | chr1:8685504-8688101 REVERSE LENGTH=535,2,41.328
AT1G24510,| Symbols:  | TCP-1/cpn60 chaperonin family protein | chr1:8685504-8688101 REVERSE LENGTH=535,2,43.05
AT1G24510,| Symbols:  | TCP-1/cpn60 chaperonin family protein | chr1:8685504-8688101 REVERSE LENGTH=535,6,33
AT1G24510,| Symbols:  | TCP-1/cpn60 chaperonin family protein | chr1:8685504-8688101 REVERSE LENGTH=535,6,42
AT1G24510,| Symbols:  | TCP-1/cpn60 chaperonin family protein | chr1:8685504-8688101 REVERSE LENGTH=535,6,27
AT1G24735,| Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:8757977-8759448 FORWARD LENGTH=240,2,7.749
AT1G24735,| Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:8757977-8759448 FORWARD LENGTH=240,2,10.332
AT1G24735,| Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:8757977-8759448 FORWARD LENGTH=240,2,9.471
AT1G24735,| Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:8757977-8759448 FORWARD LENGTH=240,6,17
AT1G24735,| Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:8757977-8759448 FORWARD LENGTH=240,6,19
AT1G24735,| Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:8757977-8759448 FORWARD LENGTH=240,6,18
AT1G25350,| Symbols: OVA9 | glutamine-tRNA ligase  putative / glutaminyl-tRNA synthetase  putative / GlnRS  putative | chr1:8889280-8894205 REVERSE LENGTH=795,2,17.22
AT1G25350,| Symbols: OVA9 | glutamine-tRNA ligase  putative / glutaminyl-tRNA synthetase  putative / GlnRS  putative | chr1:8889280-8894205 REVERSE LENGTH=795,2,19.803
AT1G25350,| Symbols: OVA9 | glutamine-tRNA ligase  putative / glutaminyl-tRNA synthetase  putative / GlnRS  putative | chr1:8889280-8894205 REVERSE LENGTH=795,2,20.664
AT1G25350,| Symbols: OVA9 | glutamine-tRNA ligase  putative / glutaminyl-tRNA synthetase  putative / GlnRS  putative | chr1:8889280-8894205 REVERSE LENGTH=795,6,10
AT1G25350,| Symbols: OVA9 | glutamine-tRNA ligase  putative / glutaminyl-tRNA synthetase  putative / GlnRS  putative | chr1:8889280-8894205 REVERSE LENGTH=795,6,13
AT1G25350,| Symbols: OVA9 | glutamine-tRNA ligase  putative / glutaminyl-tRNA synthetase  putative / GlnRS  putative | chr1:8889280-8894205 REVERSE LENGTH=795,6,14
AT1G25490,| Symbols: RCN1  REGA  ATB BETA BETA  EER1 | ARM repeat superfamily protein | chr1:8951700-8954899 FORWARD LENGTH=588,2,13.776
AT1G25490,| Symbols: RCN1  REGA  ATB BETA BETA  EER1 | ARM repeat superfamily protein | chr1:8951700-8954899 FORWARD LENGTH=588,2,17.22
AT1G25490,| Symbols: RCN1  REGA  ATB BETA BETA  EER1 | ARM repeat superfamily protein | chr1:8951700-8954899 FORWARD LENGTH=588,2,18.081
AT1G25490,| Symbols: RCN1  REGA  ATB BETA BETA  EER1 | ARM repeat superfamily protein | chr1:8951700-8954899 FORWARD LENGTH=588,6,11
AT1G25490,| Symbols: RCN1  REGA  ATB BETA BETA  EER1 | ARM repeat superfamily protein | chr1:8951700-8954899 FORWARD LENGTH=588,6,15
AT1G25490,| Symbols: RCN1  REGA  ATB BETA BETA  EER1 | ARM repeat superfamily protein | chr1:8951700-8954899 FORWARD LENGTH=588,6,14
AT1G26550,| Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr1:9171800-9172716 FORWARD LENGTH=142,2,7.749
AT1G26550,| Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr1:9171800-9172716 FORWARD LENGTH=142,2,12.054
AT1G26550,| Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr1:9171800-9172716 FORWARD LENGTH=142,2,8.61
AT1G26550,| Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr1:9171800-9172716 FORWARD LENGTH=142,6,9
AT1G26550,| Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr1:9171800-9172716 FORWARD LENGTH=142,6,10
AT1G26550,| Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr1:9171800-9172716 FORWARD LENGTH=142,6,8
AT1G26630,| Symbols: FBR12  ATELF5A-2  ELF5A-2 | Eukaryotic translation initiation factor 5A-1 (eIF-5A 1) protein | chr1:9205968-9207098 FORWARD LENGTH=159,2,32.718
AT1G26630,| Symbols: FBR12  ATELF5A-2  ELF5A-2 | Eukaryotic translation initiation factor 5A-1 (eIF-5A 1) protein | chr1:9205968-9207098 FORWARD LENGTH=159,2,31.857
AT1G26630,| Symbols: FBR12  ATELF5A-2  ELF5A-2 | Eukaryotic translation initiation factor 5A-1 (eIF-5A 1) protein | chr1:9205968-9207098 FORWARD LENGTH=159,2,26.691
AT1G26630,| Symbols: FBR12  ATELF5A-2  ELF5A-2 | Eukaryotic translation initiation factor 5A-1 (eIF-5A 1) protein | chr1:9205968-9207098 FORWARD LENGTH=159,6,22
AT1G26630,| Symbols: FBR12  ATELF5A-2  ELF5A-2 | Eukaryotic translation initiation factor 5A-1 (eIF-5A 1) protein | chr1:9205968-9207098 FORWARD LENGTH=159,6,27
AT1G26630,| Symbols: FBR12  ATELF5A-2  ELF5A-2 | Eukaryotic translation initiation factor 5A-1 (eIF-5A 1) protein | chr1:9205968-9207098 FORWARD LENGTH=159,6,24
AT1G27400,| Symbols:  | Ribosomal protein L22p/L17e family protein | chr1:9515230-9516725 FORWARD LENGTH=176,2,24.969
AT1G27400,| Symbols:  | Ribosomal protein L22p/L17e family protein | chr1:9515230-9516725 FORWARD LENGTH=176,2,31.857
AT1G27400,| Symbols:  | Ribosomal protein L22p/L17e family protein | chr1:9515230-9516725 FORWARD LENGTH=176,2,27.552
AT1G27400,| Symbols:  | Ribosomal protein L22p/L17e family protein | chr1:9515230-9516725 FORWARD LENGTH=176,6,22
AT1G27400,| Symbols:  | Ribosomal protein L22p/L17e family protein | chr1:9515230-9516725 FORWARD LENGTH=176,6,22
AT1G27400,| Symbols:  | Ribosomal protein L22p/L17e family protein | chr1:9515230-9516725 FORWARD LENGTH=176,6,22
AT1G27950,| Symbols: LTPG1 | glycosylphosphatidylinositol-anchored lipid protein transfer 1 | chr1:9740740-9741991 FORWARD LENGTH=193,2,12.054
AT1G27950,| Symbols: LTPG1 | glycosylphosphatidylinositol-anchored lipid protein transfer 1 | chr1:9740740-9741991 FORWARD LENGTH=193,2,12.915
AT1G27950,| Symbols: LTPG1 | glycosylphosphatidylinositol-anchored lipid protein transfer 1 | chr1:9740740-9741991 FORWARD LENGTH=193,2,11.193
AT1G27950,| Symbols: LTPG1 | glycosylphosphatidylinositol-anchored lipid protein transfer 1 | chr1:9740740-9741991 FORWARD LENGTH=193,6,11
AT1G27950,| Symbols: LTPG1 | glycosylphosphatidylinositol-anchored lipid protein transfer 1 | chr1:9740740-9741991 FORWARD LENGTH=193,6,16
AT1G27950,| Symbols: LTPG1 | glycosylphosphatidylinositol-anchored lipid protein transfer 1 | chr1:9740740-9741991 FORWARD LENGTH=193,6,10
AT1G28200,| Symbols: FIP1 | FH interacting protein 1 | chr1:9850395-9852300 REVERSE LENGTH=259,2,9.471
AT1G28200,| Symbols: FIP1 | FH interacting protein 1 | chr1:9850395-9852300 REVERSE LENGTH=259,2,13.776
AT1G28200,| Symbols: FIP1 | FH interacting protein 1 | chr1:9850395-9852300 REVERSE LENGTH=259,2,10.332
AT1G28200,| Symbols: FIP1 | FH interacting protein 1 | chr1:9850395-9852300 REVERSE LENGTH=259,6,10
AT1G28200,| Symbols: FIP1 | FH interacting protein 1 | chr1:9850395-9852300 REVERSE LENGTH=259,6,17
AT1G28200,| Symbols: FIP1 | FH interacting protein 1 | chr1:9850395-9852300 REVERSE LENGTH=259,6,15
AT1G29150,| Symbols: ATS9  RPN6 | non-ATPase subunit 9 | chr1:10181240-10182499 FORWARD LENGTH=419,2,24.969
AT1G29150,| Symbols: ATS9  RPN6 | non-ATPase subunit 9 | chr1:10181240-10182499 FORWARD LENGTH=419,2,23.247
AT1G29150,| Symbols: ATS9  RPN6 | non-ATPase subunit 9 | chr1:10181240-10182499 FORWARD LENGTH=419,2,19.803
AT1G29150,| Symbols: ATS9  RPN6 | non-ATPase subunit 9 | chr1:10181240-10182499 FORWARD LENGTH=419,6,13
AT1G29150,| Symbols: ATS9  RPN6 | non-ATPase subunit 9 | chr1:10181240-10182499 FORWARD LENGTH=419,6,14
AT1G29150,| Symbols: ATS9  RPN6 | non-ATPase subunit 9 | chr1:10181240-10182499 FORWARD LENGTH=419,6,20
AT1G29250,| Symbols:  | Alba DNA/RNA-binding protein | chr1:10223461-10224592 REVERSE LENGTH=130,2,17.22
AT1G29250,| Symbols:  | Alba DNA/RNA-binding protein | chr1:10223461-10224592 REVERSE LENGTH=130,2,23.247
AT1G29250,| Symbols:  | Alba DNA/RNA-binding protein | chr1:10223461-10224592 REVERSE LENGTH=130,2,20.664
AT1G29250,| Symbols:  | Alba DNA/RNA-binding protein | chr1:10223461-10224592 REVERSE LENGTH=130,6,17
AT1G29250,| Symbols:  | Alba DNA/RNA-binding protein | chr1:10223461-10224592 REVERSE LENGTH=130,6,19
AT1G29250,| Symbols:  | Alba DNA/RNA-binding protein | chr1:10223461-10224592 REVERSE LENGTH=130,6,18
AT1G29310,| Symbols:  | SecY protein transport family protein | chr1:10252662-10254526 FORWARD LENGTH=475,2,19.803
AT1G29310,| Symbols:  | SecY protein transport family protein | chr1:10252662-10254526 FORWARD LENGTH=475,2,18.942
AT1G29310,| Symbols:  | SecY protein transport family protein | chr1:10252662-10254526 FORWARD LENGTH=475,2,20.664
AT1G29310,| Symbols:  | SecY protein transport family protein | chr1:10252662-10254526 FORWARD LENGTH=475,6,17
AT1G29310,| Symbols:  | SecY protein transport family protein | chr1:10252662-10254526 FORWARD LENGTH=475,6,20
AT1G29310,| Symbols:  | SecY protein transport family protein | chr1:10252662-10254526 FORWARD LENGTH=475,6,14
AT1G29370,| Symbols:  | Kinase-related protein of unknown function (DUF1296) | chr1:10278080-10283024 REVERSE LENGTH=831,2,13.776
AT1G29370,| Symbols:  | Kinase-related protein of unknown function (DUF1296) | chr1:10278080-10283024 REVERSE LENGTH=831,2,15.498
AT1G29370,| Symbols:  | Kinase-related protein of unknown function (DUF1296) | chr1:10278080-10283024 REVERSE LENGTH=831,2,12.915
AT1G29370,| Symbols:  | Kinase-related protein of unknown function (DUF1296) | chr1:10278080-10283024 REVERSE LENGTH=831,6,8
AT1G29370,| Symbols:  | Kinase-related protein of unknown function (DUF1296) | chr1:10278080-10283024 REVERSE LENGTH=831,6,9
